127.0.0.1 - - [11/Feb/2017:15:02:02 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:02:03 +0530] "GET /AlmaBridgeB/ HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:02:25 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:07:00 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:13 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:13 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:20 +0530] "OPTIONS /AlmaBridgeB/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:21 +0530] "POST /AlmaBridgeB/login HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:28 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:36 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:36 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:51 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:51 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:56 +0530] "GET /AlmaBridgeB/friends/kavita/ HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:56 +0530] "GET /AlmaBridgeB/pendingFriendRequests/kavita/ HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:57 +0530] "GET /AlmaBridgeB/pendingFriendRequests/kavita/ HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:57 +0530] "GET /AlmaBridgeB/friends/kavita/ HTTP/1.1" 200 122
