0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:20:52 +0530] "POST /AlmaBridgeB/login HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:20:56 +0530] "GET /AlmaBridgeB/blogs HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:20:57 +0530] "GET /AlmaBridgeB/blogs HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:21:02 +0530] "GET /AlmaBridgeB/blog/41 HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:21:03 +0530] "GET /AlmaBridgeB/blogs HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:21:03 +0530] "GET /AlmaBridgeB/blogs HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:21:03 +0530] "GET /AlmaBridgeB/blog_Comments/41 HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:21:10 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:21:10 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:21:15 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:21:15 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:23:30 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:25:35 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:25:42 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:25:46 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:25:49 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:25:52 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:25:57 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:26:00 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:26:49 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:27:05 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:27:08 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:27:26 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:29:07 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:31:05 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:31:37 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:31:59 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:34:14 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:20:00:17 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:20:00:36 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:20:00:45 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [30/Jan/2017:20:00:45 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [30/Jan/2017:20:00:55 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [30/Jan/2017:20:00:55 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [30/Jan/2017:20:01:14 +0530] "GET /AlmaBridgeB/blogs HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [30/Jan/2017:20:01:14 +0530] "GET /AlmaBridgeB/blogs HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [30/Jan/2017:20:01:19 +0530] "GET /AlmaBridgeB/blog/3 HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [30/Jan/2017:20:01:19 +0530] "GET /AlmaBridgeB/blogs HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [30/Jan/2017:20:01:19 +0530] "GET /AlmaBridgeB/blogs HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [30/Jan/2017:20:01:19 +0530] "GET /AlmaBridgeB/blog_Comments/3 HTTP/1.1" 200 484
