127.0.0.1 - - [13/Feb/2017:22:52:18 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Feb/2017:22:52:19 +0530] "GET /AlmaBridgeB/ HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:46:31 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:46:32 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:46:37 +0530] "OPTIONS /AlmaBridgeB/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:46:38 +0530] "POST /AlmaBridgeB/login HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:46:42 +0530] "GET /AlmaBridgeB/friends/yogita/ HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:46:42 +0530] "GET /AlmaBridgeB/pendingFriendRequests/yogita/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:46:42 +0530] "GET /AlmaBridgeB/friends/yogita/ HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:46:42 +0530] "GET /AlmaBridgeB/pendingFriendRequests/yogita/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:46:50 +0530] "GET /AlmaBridgeB/chat/info HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:46:50 +0530] "GET /AlmaBridgeB/chat/835/hzs2ghsl/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:47:50 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:48:01 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:48:03 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:48:05 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:48:06 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:48:06 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:48:12 +0530] "OPTIONS /AlmaBridgeB/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:48:13 +0530] "POST /AlmaBridgeB/login HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:48:16 +0530] "GET /AlmaBridgeB/friends/yogita/ HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:48:16 +0530] "GET /AlmaBridgeB/pendingFriendRequests/yogita/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:48:16 +0530] "GET /AlmaBridgeB/friends/yogita/ HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:48:16 +0530] "GET /AlmaBridgeB/pendingFriendRequests/yogita/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:48:18 +0530] "GET /AlmaBridgeB/chat/info HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:48:18 +0530] "GET /AlmaBridgeB/chat/429/0o6me1oy/websocket HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:49:05 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:49:05 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:49:10 +0530] "POST /AlmaBridgeB/login HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:49:14 +0530] "GET /AlmaBridgeB/pendingFriendRequests/yogita/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:49:14 +0530] "GET /AlmaBridgeB/friends/yogita/ HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:49:14 +0530] "GET /AlmaBridgeB/pendingFriendRequests/yogita/ HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:49:14 +0530] "GET /AlmaBridgeB/friends/yogita/ HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:49:25 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5158
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:49:25 +0530] "GET /AlmaBridgeB/chat/info HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [13/Feb/2017:23:49:25 +0530] "GET /AlmaBridgeB/chat/789/gr_gr450/websocket HTTP/1.1" 101 -
