127.0.0.1 - - [19/Jan/2017:20:11:29 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:11:31 +0530] "GET /AlmaBridgeB/ HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:11:31 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:32:14 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:32:14 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:32:25 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:32:25 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:32:27 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:32:30 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:32:30 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:32:32 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:32:32 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:32:45 +0530] "GET /AlmaBridgeB/blogs HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:32:45 +0530] "GET /AlmaBridgeB/blogs HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:35:30 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:35:30 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:35:32 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:35:32 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:35:35 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:35:44 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:35:44 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:35:56 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:35:56 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:42:36 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:42:36 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:42:38 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:42:38 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:42:43 +0530] "GET /AlmaBridgeB/blogs HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:42:43 +0530] "GET /AlmaBridgeB/blogs HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:43:58 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:43:58 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:44:08 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:44:08 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:44:09 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:44:11 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:44:11 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:44:13 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:44:13 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:48:19 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:48:19 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:48:26 +0530] "OPTIONS /AlmaBridgeB/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:48:26 +0530] "POST /AlmaBridgeB/login HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:48:31 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:48:31 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:48:32 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:48:36 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:48:37 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:48:40 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:48:40 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:50:25 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:50:25 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:50:28 +0530] "POST /AlmaBridgeB/login HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:52:17 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:52:17 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:20:52:19 +0530] "POST /AlmaBridgeB/login HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:00:43 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:00:43 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:00:45 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:00:45 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:00:46 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:00:47 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:00:48 +0530] "OPTIONS /AlmaBridgeB/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:00:49 +0530] "POST /AlmaBridgeB/login HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:00:53 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:00:53 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:00:57 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:00:58 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:00:58 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:01:00 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:01:01 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:03:10 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:03:10 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:03:12 +0530] "POST /AlmaBridgeB/login HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:03:17 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:03:17 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:03:19 +0530] "GET /AlmaBridgeB/pendingFriendRequests HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:03:19 +0530] "GET /AlmaBridgeB/friends HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:06:58 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:06:58 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:07:00 +0530] "POST /AlmaBridgeB/login HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:07:03 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:07:04 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:07:05 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 5087
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:07:06 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:07:07 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:07:08 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [19/Jan/2017:21:07:08 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1823
