2016-12-16 17:41:27,521 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-16 17:41:27,529 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory H:\workspace3\AlmaBridge-B-master\src\test\resources
2016-12-16 17:41:35,612 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-16 17:41:35,624 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-16 17:41:35,624 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-16 17:41:35,636 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory H:\workspace3\AlmaBridge-B-master\src\test\resources
2016-12-16 18:20:26,795 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-16 18:20:26,800 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-16 18:20:26,801 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-16 18:20:26,806 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory H:\workspace3\AlmaBridge-B-master\src\test\resources
2016-12-16 18:24:18,124 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-16 18:24:18,148 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-16 18:24:18,149 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-16 18:24:18,154 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory H:\workspace3\AlmaBridge-B-master\src\test\resources
2016-12-16 18:24:49,887 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-16 18:24:49,907 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-16 18:24:49,909 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-16 18:24:49,915 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory H:\workspace3\AlmaBridge-B-master\src\test\resources
2016-12-16 18:25:19,242 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-16 18:25:19,251 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-16 18:25:19,253 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-16 18:25:19,260 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory H:\workspace3\AlmaBridge-B-master\src\test\resources
2016-12-16 18:27:28,185 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-16 18:27:28,200 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-16 18:27:28,202 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-16 18:27:28,209 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory H:\workspace3\AlmaBridge-B-master\src\test\resources
2016-12-16 18:29:07,648 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-16 18:29:07,673 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-16 18:29:07,676 [Worker-78] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-16 18:29:07,683 [Worker-78] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory H:\workspace3\AlmaBridge-B-master\src\test\resources
2016-12-16 18:45:02,234 [Worker-90] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-16 18:45:02,450 [Worker-90] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
