127.0.0.1 - - [13/Feb/2017:22:51:17 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Feb/2017:22:51:19 +0530] "GET /AlmaBridge/ HTTP/1.1" 200 8078
0:0:0:0:0:0:0:1 - - [13/Feb/2017:22:51:20 +0530] "GET /AlmaBridge/resources/angular/angular.min.js HTTP/1.1" 200 151183
0:0:0:0:0:0:0:1 - - [13/Feb/2017:22:51:20 +0530] "GET /AlmaBridge/resources/jquery/dist/jquery.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [13/Feb/2017:22:51:21 +0530] "GET /AlmaBridge/resources/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 26711
0:0:0:0:0:0:0:1 - - [13/Feb/2017:22:51:21 +0530] "GET /AlmaBridge/resources/styles/bootstrap-social.css HTTP/1.1" 200 18525
0:0:0:0:0:0:0:1 - - [13/Feb/2017:22:51:21 +0530] "GET /AlmaBridge/resources/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [13/Feb/2017:22:51:21 +0530] "GET /AlmaBridge/resources/styles/mystyles.css HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [13/Feb/2017:22:51:21 +0530] "GET /AlmaBridge/resources/sockjs/sockjs.js HTTP/1.1" 200 79797
0:0:0:0:0:0:0:1 - - [13/Feb/2017:22:51:22 +0530] "GET /AlmaBridge/resources/angular-route/angular-route.min.js HTTP/1.1" 200 4766
0:0:0:0:0:0:0:1 - - [13/Feb/2017:22:51:22 +0530] "GET /AlmaBridge/resources/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [13/Feb/2017:22:51:22 +0530] "GET /AlmaBridge/resources/stomp/stomp.js HTTP/1.1" 200 16210
0:0:0:0:0:0:0:1 - - [13/Feb/2017:22:51:22 +0530] "GET /AlmaBridge/a_about/aboutController.js HTTP/1.1" 200 106
