127.0.0.1 - - [10/Feb/2017:13:43:47 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Feb/2017:13:44:18 +0530] "GET /AlmaBridge/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2017:13:44:29 +0530] "GET /AlmaBridge/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2017:13:44:29 +0530] "GET /AlmaBridge/a_chat/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2017:13:44:30 +0530] "GET /AlmaBridge/resources/sockjs/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2017:13:44:30 +0530] "GET /AlmaBridge/resources/styles/mystyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2017:13:44:30 +0530] "GET /AlmaBridge/resources/lodash/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2017:13:44:30 +0530] "GET /AlmaBridge/resources/stomp/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2017:13:44:30 +0530] "GET /AlmaBridge/a_chat/ChatService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2017:13:45:59 +0530] "GET /AlmaBridge/a_home/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2017:13:46:39 +0530] "GET /AlmaBridge/a_friend/friend.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2017:13:46:44 +0530] "GET /AlmaBridge/a_chat/chat.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2017:13:54:40 +0530] "GET /AlmaBridge/ HTTP/1.1" 200 7861
0:0:0:0:0:0:0:1 - - [10/Feb/2017:13:54:40 +0530] "GET /AlmaBridge/resources/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121200
