0:0:0:0:0:0:0:1 - - [21/Dec/2016:01:03:21 +0530] "GET /AlmaBridge/ HTTP/1.1" 200 7340
0:0:0:0:0:0:0:1 - - [21/Dec/2016:01:03:21 +0530] "GET /AlmaBridge/resources/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [21/Dec/2016:01:03:21 +0530] "GET /AlmaBridge/resources/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 26711
0:0:0:0:0:0:0:1 - - [21/Dec/2016:01:03:21 +0530] "GET /AlmaBridge/resources/angular/angular.min.js HTTP/1.1" 200 151183
0:0:0:0:0:0:0:1 - - [21/Dec/2016:01:03:21 +0530] "GET /AlmaBridge/resources/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [21/Dec/2016:01:03:21 +0530] "GET /AlmaBridge/resources/jquery/dist/jquery.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [21/Dec/2016:01:03:21 +0530] "GET /AlmaBridge/resources/styles/mystyles.css HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [21/Dec/2016:01:03:21 +0530] "GET /AlmaBridge/resources/styles/bootstrap-social.css HTTP/1.1" 200 18525
0:0:0:0:0:0:0:1 - - [21/Dec/2016:01:03:21 +0530] "GET /AlmaBridge/resources/angular-route/angular-route.min.js HTTP/1.1" 200 4766
0:0:0:0:0:0:0:1 - - [21/Dec/2016:01:03:21 +0530] "GET /AlmaBridge/app.js HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [21/Dec/2016:01:03:21 +0530] "GET /AlmaBridge/a_about/aboutController.js HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [21/Dec/2016:01:03:21 +0530] "GET /AlmaBridge/a_contact/contactController.js HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [21/Dec/2016:01:03:21 +0530] "GET /AlmaBridge/a_home/homeController.js HTTP/1.1" 200 854
